t_train_id,t_train_type,t_train_name
0,0,1096
1,0,1134
2,0,1136
3,0,1148
4,0,1150
5,0,1152
6,0,1154
7,0,1228
8,0,1303
9,0,1304
10,0,1456
11,0,1458
12,0,1461
13,0,1462
14,0,1485
15,0,1486
16,0,1487
17,0,1488
18,0,1551
19,0,1552
20,0,1801
21,0,1802
22,0,1818
23,0,1820
24,0,1881
25,0,1882
26,0,2011
27,0,2012
28,0,2051
29,0,2052
30,0,2061
31,0,2062
32,0,2065
33,0,2066
34,0,2071
35,0,2073
36,0,2083
37,0,2084
38,0,2123
39,0,2124
40,0,2150
41,0,2152
42,0,2167
43,0,2168
44,0,2207
45,0,2209
46,0,2257
47,0,2258
48,0,2462
49,0,2464
50,0,2549
51,0,2550
52,0,2559
53,0,2560
54,0,2589
55,0,2591
56,0,2602
57,0,2604
58,0,2614
59,0,2616
60,0,2621
61,0,2622
62,0,2623
63,0,2624
64,0,2635
65,0,2636
66,0,2667
67,0,2668
68,0,2671
69,0,2672
70,0,2673
71,0,2674
72,0,2675
73,0,2676
74,0,2686
75,0,2688
76,0,2701
77,0,2702
78,0,2727
79,0,2728
80,0,4031
81,0,4032
82,0,4043
83,0,4044
84,0,4045
85,0,4046
86,0,4059
87,0,4060
88,0,4071
89,0,4072
90,0,4081
91,0,4082
92,0,4083
93,0,4084
94,0,4085
95,0,4086
96,0,4095
97,0,4096
98,0,4133
99,0,4134
100,0,4135
101,0,4136
102,0,4161
103,0,4162
104,0,4171
105,0,4172
106,0,4173
107,0,4174
108,0,4182
109,0,4184
110,0,4187
111,0,4188
112,0,4189
113,0,4190
114,0,4191
115,0,4192
116,0,4215
117,0,4216
118,0,4223
119,0,4224
120,0,4229
121,0,4230
122,0,4245
123,0,4246
124,0,4247
125,0,4255
126,0,4256
127,0,4289
128,0,4290
129,0,4301
130,0,4302
131,0,4305
132,0,4306
133,0,4309
134,0,4310
135,0,4315
136,0,4316
137,0,4318
138,0,4320
139,0,4321
140,0,4322
141,0,4325
142,0,4326
143,0,4327
144,0,4328
145,0,4330
146,0,4343
147,0,4344
148,0,4345
149,0,4346
150,0,4347
151,0,4348
152,0,4355
153,0,4357
154,0,4368
155,0,4370
156,0,4372
157,0,4374
158,0,4375
159,0,4377
160,0,4415
161,0,4416
162,0,4464
163,0,4465
164,0,4466
165,0,4471
166,0,4473
167,0,4481
168,0,4482
169,0,4611
170,0,4612
171,0,4615
172,0,4616
173,0,4627
174,0,4628
175,0,4629
176,0,4630
177,0,4635
178,0,4636
179,0,4641
180,0,4642
181,0,4643
182,0,4652
183,0,4654
184,0,4706
185,0,4708
186,0,4717
187,0,4718
188,0,4720
189,0,4732
190,0,4734
191,0,4741
192,0,4742
193,0,4744
194,0,4746
195,0,4811
196,0,4812
197,0,5005
198,0,5006
199,0,5007
200,0,5008
201,0,5014
202,0,5018
203,0,5020
204,0,5022
205,0,5024
206,0,5026
207,0,5028
208,0,5036
209,0,5038
210,0,5040
211,0,5042
212,0,5045
213,0,5046
214,0,5365
215,0,5366
216,0,5505
217,0,5506
218,0,5511
219,0,5512
220,0,5517
221,0,5518
222,0,5538
223,0,5540
224,0,5609
225,0,5610
226,0,5611
227,0,5612
228,0,5619
229,0,5620
230,0,5629
231,0,5630
232,0,5633
233,0,5634
234,0,5635
235,0,5636
236,0,5639
237,0,5640
238,0,5645
239,0,5647
240,0,5801
241,0,5802
242,0,5809
243,0,5810
244,0,5818
245,0,5820
246,0,6003
247,0,6004
248,0,6021
249,0,6022
250,0,6025
251,0,6026
252,0,6029
253,0,6030
254,0,6031
255,0,6032
256,0,6034
257,0,6035
258,0,6036
259,0,6039
260,0,6041
261,0,6043
262,0,6044
263,0,6045
264,0,6046
265,0,6055
266,0,6056
267,0,6061
268,0,6062
269,0,6063
270,0,6064
271,0,6065
272,0,6066
273,0,6072
274,0,6074
275,0,6087
276,0,6161
277,0,6162
278,0,6215
279,0,6216
280,0,6223
281,0,6224
282,0,6225
283,0,6226
284,0,6231
285,0,6232
286,0,6233
287,0,6234
288,0,6238
289,0,6240
290,0,6245
291,0,6246
292,0,6251
293,0,6252
294,0,6253
295,0,6254
296,0,6257
297,0,6258
298,0,6259
299,0,6260
300,0,6261
301,0,6262
302,0,6263
303,0,6264
304,0,6265
305,0,6266
306,0,6268
307,0,6270
308,0,6272
309,0,6274
310,0,6275
311,0,6276
312,0,6277
313,0,6278
314,0,6279
315,0,6280
316,0,6282
317,0,6284
318,0,6286
319,0,6288
320,0,6291
321,0,6292
322,0,6335
323,0,6336
324,0,6337
325,0,6338
326,0,6345
327,0,6346
328,0,6361
329,0,6362
330,0,6363
331,0,6364
332,0,6365
333,0,6366
334,0,6397
335,0,6398
336,0,6419
337,0,6420
338,0,6423
339,0,6424
340,0,6433
341,0,6434
342,0,6436
343,0,6437
344,0,6452
345,0,6455
346,0,6456
347,0,6601
348,0,6602
349,0,6801
350,0,6802
351,0,6805
352,0,6815
353,0,6816
354,0,6817
355,0,6818
356,0,6819
357,0,6820
358,0,6821
359,0,6822
360,0,6823
361,0,6833
362,0,6845
363,0,6849
364,0,6850
365,0,6851
366,0,6852
367,0,6853
368,0,6854
369,0,6856
370,0,6858
371,0,6905
372,0,6907
373,0,6918
374,0,6920
375,0,6953
376,0,6955
377,0,6967
378,0,6968
379,0,7001
380,0,7003
381,0,7005
382,0,7006
383,0,7007
384,0,7008
385,0,7053
386,0,7054
387,0,7265
388,0,7266
389,0,7267
390,0,7269
391,0,7270
392,0,7273
393,0,7274
394,0,7275
395,0,7452
396,0,7454
397,0,7501
398,0,7502
399,0,7503
400,0,7504
401,0,7505
402,0,7506
403,0,7507
404,0,7508
405,0,7510
406,0,7511
407,0,7513
408,0,7515
409,0,7516
410,0,7519
411,0,7520
412,0,7524
413,0,7529
414,0,7530
415,0,7531
416,0,7532
417,0,7535
418,0,7537
419,0,7556
420,0,7558
421,0,7565
422,0,7566
423,C,C1001
424,C,C1002
425,C,C1003
426,C,C1004
427,C,C1005
428,C,C1006
429,C,C1007
430,C,C1008
431,C,C1009
432,C,C1010
433,C,C1011
434,C,C1012
435,C,C1013
436,C,C1014
437,C,C1015
438,C,C1016
439,C,C1017
