c_city_id,c_city_name,c_city_reach_table
434,包头
435,包头
436,包头
437,包头
438,化处
439,化州
440,化德
441,北井子
442,北京
443,北京
444,北京
445,北京
446,北京
447,北兴安
448,北台子
449,北宅
450,北安
451,北屯
452,北屯市
453,北岗
454,北戴河
455,北板桥
456,北流
457,北海
458,北滘
459,北碚
460,北磴
461,北票南
462,北马圈子
463,十八台
464,十堰
465,十渡
466,十里坪
467,千河
468,千阳
469,升昌
470,午汲
471,半截河
472,华城
473,华山
474,华山
475,华蓥
476,卓资东
477,卓资山
478,南丰
479,南丹
480,南京
481,南京
482,南仇
483,南充
484,南充
485,南兴安
486,南华
487,南博山
488,南口
489,南口前
490,南召
491,南城
492,南城司
493,南大庙
494,南头
495,南宁
496,南宁
497,南宁
498,南宫东
499,南尔岗
500,南岔
501,南峪
502,南平
503,南平
504,南昌
505,南昌
506,南曹
507,南朗
508,南木
509,南杂木
510,南桥
511,南江
512,南江口
513,南汤
514,南河川
515,南洼
516,南湖东
517,南湾子
518,南翔北
519,南芬
520,南芬
521,南观村
522,南通
523,南部
524,南阳
525,南阳寨
526,南陈铺
527,南陵
528,南雄
529,南靖
530,博乐
531,博克图
532,博白
533,博鳌
534,卡伦
535,卢龙
536,卧里屯
537,卫星
538,卫辉
539,即墨北
540,原平
541,原林
542,厦门
543,厦门
544,友好
545,双丰
546,双凤驿
547,双城北
548,双城堡
549,双子河
550,双峰北
551,双柳
552,双河镇
553,双泡子
554,双流机场
555,双流西
556,双牌
557,双石桥
558,双辽
559,双鸭山
560,双龙山
561,发耳
562,口前
563,古东
564,古交
565,古城
566,古城子
567,古城镇
568,古家沱
569,古浪
570,古源
571,古田
572,古田会址
573,古田
574,古莲
575,古镇
576,古鲁满汗
577,句容西
578,台前
579,台安
580,台州
581,史家铺
582,叶城
583,叶柏寿
584,司家岭
585,合川
586,合浦
587,合肥
588,合肥
589,合肥
590,合阳北
591,吉安
592,吉文
593,吉新河
594,吉林
595,吉舒
596,吉首
597,同心
598,同江
599,后寨
600,吐列毛杜
601,吐哈
602,吐鲁番
603,吐鲁番
604,向塘
605,向阳
606,向阳川
607,吕梁
608,吴堡
609,吴官田
610,吴家屯
611,吴家川
612,吴桥
613,周口
614,周家
615,周家屯
616,呼兰
617,呼和浩特
618,呼和浩特
619,呼鲁斯太
620,和什托洛盖
621,和平
622,和田
623,和硕
624,和龙
625,咸宁
626,咸宁
627,咸宁
628,咸宁
629,咸阳
630,哈业胡同
631,哈克
632,哈力图
633,哈密
634,哈尔巴岭
635,哈尔滨
636,哈尔滨
637,哈尔滨
638,哈拉苏
639,哈日努拉
640,哈达
641,哈达阳
642,哲里木
643,唐家湾
644,唐山
645,唐山
646,唐河
647,商丘
648,商丘
649,商南
650,商城
651,商河
652,商洛
653,商都
654,喀什
655,喀喇其
656,喇嘛山
657,喜德
658,嘉兴
659,嘉兴
660,嘉善
661,嘉善
662,嘉峪关
663,嘉峪关南
664,嘉峰
665,嘉祥
666,嘎什吐
667,嘎什甸子
668,嘎拉德斯汰
669,四会
670,四分地
671,四分滩
672,四合
673,四合永
674,四家子
675,四平
676,四平
677,四方台
678,四道湾
679,四马架
680,团结
681,园墩
682,固原
683,固始
684,固镇
685,图们
686,图们
687,图强
688,图里河
689,土们岭
690,土地堂东
691,土桥子
692,土溪
693,土牧尔台
694,土贵乌拉
695,土门子
696,圣浪
697,坝梁
698,坡底下
699,坪上
700,坪石
701,埃岱
702,城固
703,城子坦
704,堡子湾
705,塔哈
706,塔尔根
707,塔尔气
708,塔崖驿
709,塔河
710,塔源
711,塘沽
712,塘豹
713,墨玉
714,夏坝
715,夏官营
716,夏拉哈马
717,夏石
718,夏邑县
719,大东
720,大乌苏
721,大余
722,大关
723,大兴
724,大兴沟
725,大其拉哈
726,大冶北
727,大口钦
728,大同
729,大坝
730,大埔
731,大堡
732,大孤山
733,大安北
734,大官屯
735,大屯
736,大山铺
737,大巴
738,大平房
739,大庆
740,大庆
741,大庆
742,大徐屯
743,大成
744,大战场
745,大扬气
746,大旺
747,大杖子
748,大杨树
749,大杨树东
750,大板
751,大林
752,大武口
753,大民屯
754,大河坝
755,大涧
756,大湾子
757,大灰厂
758,大理
759,大田边
760,大盘石
761,大石头
762,大石寨
763,大石桥
764,大磴沟
765,大竹园
766,大红旗
767,大英东
768,大苴
769,大营
770,大营镇
771,大虎山
772,大西
773,大足
774,大足
775,大辛庄
776,大连
777,大连
778,大通西
779,大陆号
780,大雁
781,大雅河
782,大青沟
783,天义
784,天岗
785,天柱山
786,天桥
787,天桥岭
788,天水
789,天津
790,天津
791,天津
792,天祝
793,天西
794,天镇
